Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Europe & Central Asia (excluding high income),719010000,905900000,2487900010,3730602000,2925916000,5522880000,6469025000,11613188000,10567401001,9785461182,9009453104,14039292446,13411823241,23253953083,43378783727,54081108384,1.0001E+11,1.44884E+11,1.6685E+11,91568224150,88362710514,1.21279E+11,1.07674E+11,1.18941E+11,67128579995,57617980704,92790134394,72034083812,50796959380
Europe & Central Asia,1.13097E+11,91204130712,89417535691,95534175652,1.00587E+11,1.50819E+11,1.56968E+11,1.90853E+11,3.54783E+11,6.1016E+11,8.55767E+11,4.56504E+11,4.15191E+11,3.89462E+11,4.41912E+11,1.02117E+12,1.2857E+12,1.88625E+12,1.25095E+12,6.6142E+11,7.49669E+11,1.07256E+12,8.32644E+11,7.51984E+11,5.85965E+11,1.07378E+12,1.34458E+12,9.0668E+11,-2.75917E+11
Ecuador,126000000,160000000,178000000,473720000,576330000,452480000,499680000,723950000,869980000,648410000,-23439367.91,538568575.2,783261009.6,871513414,836939593.9,493413835.5,271428852.5,193872526.9,1057404020,308629890.1,165893320.4,646084358.7,567417300.9,727081206.3,772389946.1,1322701337,764048868.1,629512412.3,1388456763
"Egypt, Arab Rep.",734000000,253000000,459000000,493000000,1256000000,598000000,636000000,890550000,1076000000,1065300000,1235000000,509900000,646900000,237400000,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000,2797700000,4192200000,4612200000,6925200000,8106800000,7408700000,8141300000
Euro area,60745451146,55020865056,60351966220,59194428819,56543236301,79799727018,93626161604,90990871369,1.73217E+11,3.52402E+11,5.55032E+11,3.20365E+11,2.53271E+11,2.68978E+11,2.70126E+11,6.32977E+11,8.17911E+11,1.28146E+12,6.57122E+11,4.38151E+11,5.36184E+11,8.18246E+11,5.66198E+11,5.96208E+11,3.83685E+11,7.43248E+11,5.99285E+11,4.88705E+11,-14021769377
Eritrea,,,10,10,10,,36669547.22,40797036.65,45493.27759,83222099.9,27870106.7,12131626.4,22766165.8,24999786.5,24103664.8,1431553.8,15375609.7,7206504,39000000,91000000,91000000,39000000,41357999.9,43859000,46511000,49323000,52305000,55468000,61015000
Spain,13983611812,12492782829,13275723087,10808165173,8772628137,8281607345,9801379213,9433660065,15714658309,19628574140,40509751188,28909416991,39359708554,30744905691,25268192651,27007774843,32927841460,68229666915,74088629877,9549813317,36609340306,26832032515,20848479096,47373243839,32943256863,23037070821,44253339408,31565354024,58626179995
Estonia,,,82271988.64,168371544.6,218447607.2,206807479.4,165850731.4,274049611.9,595587942.5,325892789.4,416214286.8,592889580.2,338234260.4,1038244664,1086893435,3057558405,1758167636,3033145920,1977264597,1866296947,2592255115,1119148299,1787341527,1097942107,1781648554,-715465129.9,925762256.7,1735775304,1232538894
Ethiopia,0,0,170000,3500000,17210000,14140000,21930000,288490000,260670000,69980000,134639999.9,349399999.9,255000000,465000000,545100000,265111675.5,545257102.2,222000573,108537544,221459581.4,288271568.3,628624806,278562822.2,1343876024,1855052154,2626517918,4142937496,4017159565,3360419369
European Union,64506841223,64773304817,63652598274,69609296375,72276352125,1.10527E+11,1.0998E+11,1.16731E+11,2.20144E+11,4.5258E+11,6.33987E+11,3.66253E+11,2.95344E+11,2.93508E+11,3.13836E+11,7.31279E+11,9.1186E+11,1.47751E+12,8.28461E+11,4.78991E+11,5.39436E+11,8.7797E+11,5.8803E+11,6.09591E+11,4.30713E+11,7.73435E+11,7.29754E+11,5.40002E+11,-34153516242
Fragile and conflict affected situations,1369311614,3510644261,2816887403,3328610292,3455835060,2840696124,4440381612,10972340358,9412302684,7068857327,9019389107,9505290524,9917884445,16260722556,15547613149,20809819116,22793094185,34551175321,37676572700,30639410068,33118050268,40202909871,42254179397,30677963710,20678685415,26697204688,21720286103,24307835988,20177045236
Finland,812172838.2,-232904201.9,396369713.7,863526070.9,277840045,1450710446,752969481.7,2454075989,12514915951,7797795099,13502068645,3224710300,8094575465,5965369887,6777097342,10867806671,4638725790,21979356205,19406664159,-8825823234,12221008932,-6008001205,4931090895,-4922279529,17528599997,17485137456,5124075141,17149122038,-10571698825
Fiji,-30386755.88,-40188200.05,37791314.98,-3243015.356,-31281482.11,-22683100.26,-72186987.81,-60193603.13,20334035.18,-147083835.8,591375.1146,41301896.35,30672578.33,40310494.54,250597673.1,172951928.7,583975309.3,464230334.1,679220489.3,308373711,178091735.6,217158525.7,277313672,243782754,377869372.3,205373209.1,391619655.4,387602565.3,468861002.9
France,13183285335,15152742090,21839501253,20754044036,15797125295,23736300874,21971888803,23047924755,29518429032,45971216472,41389082665,50142053919,51550483854,42350800678,35608535813,85137061931,78957053786,83777598395,67997446905,18422928062,38889439213,44205811127,32944663318,31589283791,5804878133,42825414106,32803666729,35868111746,77493098693
